S. No.,Comp Ratio,Temp,PERTURB,Hidden_Layers_comp,Original Val Loss,Comp_val_Loss,Time(sec)
1,1,80,0.0005,All,0.00021,0.246700,15.00
2,1,80,0.005,All,0.00021,0.029600,149.00
3,0.9,80,0.0005,All,0.00021,0.216507,19.52
4,0.9,80,0.001,All,0.00021,0.134710,30.23
5,0.9,80,0.005,All,0.00021,0.133701,124.81
6,0.9,80,0.01,All,0.00021,0.135607,239.28
7,0.8,80,0.0005,All,0.00021,0.354266,17.20
8,0.8,80,0.001,All,0.00021,0.246283,28.19
9,0.8,80,0.005,All,0.00021,0.356436,125.47
10,0.8,80,0.01,All,0.00021,0.356449,243.00
11,0.7,80,0.0005,All,0.00021,0.891507,17.06
12,0.7,80,0.001,All,0.00021,0.891810,27.93
13,0.7,80,0.005,All,0.00021,0.891728,118.98
14,0.7,80,0.01,All,0.00021,0.886794,225.94
15,0.6,80,0.0005,All,0.00021,1.061660,17.18
16,0.6,80,0.001,All,0.00021,1.062301,28.60
17,0.6,80,0.005,All,0.00021,1.062524,125.20
18,0.6,80,0.01,All,0.00021,1.051422,243.23
19,0.5,80,0.0005,All,0.00021,1.236756,16.36
20,0.5,80,0.001,All,0.00021,1.236986,28.07
21,0.5,80,0.005,All,0.00021,1.240398,111.16
22,0.5,80,0.01,All,0.00021,1.230839,224.24
23,0.4,80,0.0005,All,0.00021,1.193568,16.18
24,0.4,80,0.001,All,0.00021,1.193231,26.16
25,0.4,80,0.005,All,0.00021,1.192032,119.45
26,0.4,80,0.01,All,0.00021,1.191826,233.95
27,0.3,80,0.0005,All,0.00021,1.733614,15.66
28,0.3,80,0.001,All,0.00021,1.733639,25.91
29,0.3,80,0.005,All,0.00021,1.733268,109.89
30,0.3,80,0.01,All,0.00021,1.732003,210.05
31,0.2,80,0.0005,All,0.00021,1.770368,14.08
32,0.2,80,0.001,All,0.00021,1.770434,24.52
33,0.2,80,0.005,All,0.00021,1.769384,94.96
34,0.2,80,0.01,All,0.00021,1.767578,197.00
35,0.1,80,0.0005,All,0.00021,1.811049,2.99
36,0.1,80,0.001,All,0.00021,1.810984,3.09
37,0.1,80,0.005,All,0.00021,1.810469,3.00
38,0.1,80,0.01,All,0.00021,1.809839,3.01